Type,Key,Title,Epic,Milestone,Priority,Labels,AsA,IWant,SoThat,Acceptance,Refs,DependsOn
Story,CONSENT,Versioned e-signed consent with mandated content,PRD-03,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",P0,type:story PRD-03 phase:1 area:backend compliance,client,"to read plain-language consent covering the procedure, risks, alternatives, the practitioner's qualifications and costs, and e-sign it",I give genuinely informed consent,"Consent is versioned, e-signed and contains all mandated content. | Treatment is blocked until a current, version-matched consent is signed; the block states what's missing. | Changing a template creates a new version; previously signed consents stay bound to their version. | Consent versions are retained per the retention policy (C18).","REQ: REQ-CONS-1 · Compliance: C5, C18 · PRD AC: AC1, AC6",PRD-03/INTAKE
Story,IMAGE-CONSENT,"Separate, withdrawable image-use consent",PRD-03,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",P1,type:story PRD-03 phase:1 area:backend compliance,client,to give separate consent for photo use and withdraw it whenever I want,I control how my images are used,Image-use consent is separate from treatment consent and scoped. | Withdrawing it immediately stops further use and is audited. | Downstream media features (PRD-05/09) check this consent. | Granted/withdrawn state is visible on the patient header chip.,REQ: REQ-CONS-5 · Compliance: C14 · PRD AC: AC4,PRD-03/CONSENT
Story,COOLING-OFF,Cooling-off & under-18 payment block,PRD-03,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",P1,type:story PRD-03 phase:1 area:backend compliance,system,to enforce a 7-day cooling-off and payment block for under-18s and record a second consultation,minors are protected per the rules,For under-18: ≥7 days enforced between consent and procedure; payment blocked except the consult until elapsed. | A second-consultation offer is recorded. | Optional adult cooling-off is configurable (default per legal read). | Payment block coordinates with PRD-06.,REQ: REQ-CONS-4 · Compliance: C6 · PRD AC: AC3,PRD-01/CLIENT-CORE PRD-03/CONSENT
Story,GATING,Server-enforced treatment gating,PRD-03,"M2 · Booking, CRM, intake & consent (PRD-02, PRD-03)",P0,type:story PRD-03 phase:1 area:backend compliance,RN/NP,"the system to block treatment until required intake and consent are complete and current, telling me exactly what's missing",the compliant path is the only path,Treatment is blocked server-side unless required intake + current consent exist. | The block states what's missing and how to resolve it (never a dead-end). | The gate is the shared mechanism consumed by PRD-04/05. | Gate decisions are audited.,Compliance: C5 · ADR: ADR-0008 · PRD AC: AC1,PRD-03/CONSENT PRD-03/BDD
Epic,PRD-04,"Consult, prescribing & S4 medicines governance (the moat)",,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",,type:epic PRD-04 phase:1 area:backend compliance,,,,,,
Story,CONSULT,Synchronous consult record,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,prescriber,to record a synchronous consult (in person or from our external telehealth app) before writing any script,every prescription is backed by a real assessment,"Consult records modality (in-person/telehealth-external), prescriber, timestamp, external reference, notes. | A prescription cannot be saved without a linked synchronous consult at/just-before script time. | The remote-prescriber path links the externally-conducted consult to the resulting script. | Consult creation is audited.","REQ: REQ-RX-1, REQ-RX-4 · Compliance: C1 · ADR: ADR-0011 · PRD AC: AC1",PRD-02/CONSULT-GATE PRD-03/GATING
Story,PRESCRIPTION,Individual prescription (no batch / no async),PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,prescriber,to write an individual prescription for this patient tied to their consult,prescribing is lawful and patient-specific,"One prescription per client per consult; applying one script to multiple clients is rejected. | Standing-order/batch scripts and async-only prescribing are impossible to create. | Prescriber may be NP, remote prescriber, or designated RN prescriber (with recorded partnered prescriber). | Off-label is flagged on the script and requires consent covering off-label use.","REQ: REQ-RX-2, REQ-RX-5 · Compliance: C2, C5 · PRD AC: AC2, AC8",PRD-04/CONSULT PRD-01/CREDENTIALS
Story,PRODUCT-CATALOGUE,Medicines & product catalogue (S4 classification),PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,owner,"a product catalogue where each product has a type, unit, S4 flag and regulatory metadata",the right rules apply to each product across the platform,"Typed products each with their own unit (units vs syringes), par, expiry tracking. | Capability-gated product admin sets the S4 flag (drives PRD-06 rewards + PRD-07 naming). | Products carry regClass/artg/compounded; prohibited compounded GLP-1 is blocked. | Retail (non-S4) SKUs supported alongside medicines.","REQ: REQ-MED-11, REQ-MED-12, REQ-MED-13 · ADR: ADR-0014, ADR-0021, ADR-0025",
Story,ADMIN-GATE,Administration gating & immutable record,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,RN,"to administer S4 only against a valid unconsumed script for this client, recording product, units, depth, site and batch-lot/expiry","every dose is lawful, traceable and tamper-proof","An Administration cannot persist without a valid script (same client), current consent and a selected in-date lot. | It records product, units, depth, site and batch-lot/expiry; it is immutable once saved. | A blocked attempt shows the reason and writes an audit event. | The administration appears in the medicine register.","REQ: REQ-RX-3, REQ-MED-4 · Compliance: C8 · ADR: ADR-0010 · PRD AC: AC3",PRD-04/PRESCRIPTION PRD-04/STOCK-RECEIVE
Story,STOCK-RECEIVE,"Stock receipt, ARTG & lawful-supply provenance",PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,prescriber/owner,"to receive S4 stock and record its ARTG status, brand, sponsor and lawful supply source","we only hold lawfully-supplied, approved medicine","Receiving records ARTG status, brand, sponsor and supply source per lot. | Receiving non-ARTG or unverified-source stock is warned/blocked per config. | S4 purchase orders require a prescriber signer + TGA-approved wholesaler. | ARTG validation supports manual entry (lookup against an ARTG dataset is an open option).","REQ: REQ-MED-6, REQ-MED-2 · Compliance: C11 · PRD AC: AC7",PRD-04/PRODUCT-CATALOGUE
Story,CUSTODY-STORAGE,Custody & secure storage,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,owner,"stock custody limited to an on-site prescriber and bound to a secure, access-logged location",S4 custody meets the exclusive-custody rule,Only NP/prescriber roles can take custody of stock. | Stock is bound to a secure location; access is logged. | A custodian + exclusive-custody attestation + designated medicine-store contact are recorded. | A remote prescriber consigning stock is flagged non-compliant.,"REQ: REQ-MED-2, REQ-MED-8 · Compliance: C7, C15 · PRD AC: AC5",PRD-04/STOCK-RECEIVE
Story,COLD-CHAIN,Temperature logging & excursion alerts,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-04 phase:1 area:backend area:integration compliance,owner,temperature logging for the medicine fridge with excursion alerts,we never use medicine that breached cold-chain,Temperature can be logged (manual + via the device API) for storage locations. | An excursion raises an alert and flags affected stock for quarantine. | A breach pathway can quarantine a lot and raise a job (links PRD-11). | Excursion history is retained and visible.,REQ: REQ-MED-7 · Compliance: C13 · PRD AC: AC6,PRD-04/CUSTODY-STORAGE
Story,VIAL-RECON,Vial / unit reconciliation,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-04 phase:1 area:backend compliance,owner,vial/unit reconciliation across draws and wastage,"stock, billing and the medicine register always agree",Each administration decrements the selected lot; vial reconciliation tracks units drawn vs vial size + wastage. | Discrepancies are surfaced. | Reconciliation data feeds reporting (PRD-08). | Partial-vial handling is supported.,REQ: REQ-MED-5 · Compliance: C8,PRD-04/ADMIN-GATE
Story,RECALL-LOOKUP,Lot → clients recall lookup & medicine register,PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-04 phase:1 area:backend compliance,prescriber/owner,"to enter a lot number and instantly see every client who received it, plus export the medicine register",we can run a recall in minutes and evidence the register,"A lot lookup returns all clients/administrations for that lot. | The S4 register exports a complete, immutable record of administrations. | Recall execution + acknowledgement tracking is available (full hub in PRD-08/11). | The register is queryable by date, product, prescriber, administrator.",REQ: REQ-MED-4 · Compliance: C8 · PRD AC: AC4,PRD-04/ADMIN-GATE
Story,WASTAGE-DESTRUCTION,"Wastage, disposal & destruction records",PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-04 phase:1 area:backend compliance,owner,"to record wastage, disposal and destruction (including partial vials) with certificates",we evidence lawful disposal of S4 medicine,"Wastage/destruction records capture quantity, reason, pathway and certificate reference. | Partial-vial destruction is supported. | Licensed/RUM disposal pathway is recorded. | Records are immutable and audited.",REQ: REQ-MED-9 · Compliance: C16 · PRD AC: AC9,PRD-04/CUSTODY-STORAGE
Story,STOCKTAKE,"Stocktake, discrepancy & loss/theft reporting",PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-04 phase:1 area:backend compliance,owner,to run a stocktake and have discrepancies surfaced with a loss/theft reporting path,stock integrity is provable and losses are reported,A stocktake compares expected vs counted stock per lot. | Discrepancies are recorded; a discrepancy can trigger a loss/theft report. | Expiry alerts surface near-expiry lots. | Stocktake results feed the compliance dashboard (PRD-08).,REQ: REQ-MED-10 · Compliance: C17 · PRD AC: AC9,PRD-04/CUSTODY-STORAGE
Story,MODE-B,Mode B pharmacy-dispensing model (placeholder),PRD-04,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P2,type:story PRD-04 phase:2plus area:backend,owner,a pharmacy-dispensing mode for clinics without on-site custody,the platform fits a pharmacy-partner arrangement,Placeholder — v1 is Mode A only; tenant mode switch already anticipates Mode B. | Captured so the medicines model stays mode-aware.,REQ: REQ-MED-1 · Compliance: C7,
Epic,PRD-05,Clinical charting: injection mapping & before/after,,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",,type:epic PRD-05 phase:1 area:provider-app area:backend,,,,,,
Story,NOTE-TEMPLATE,Guided toxin treatment note & pre-treatment review,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-05 phase:1 area:provider-app,injector,"a guided note that first surfaces safety, last treatment and the consult/Rx, then a toxin template",I chart quickly and safely with the right context in front of me,"Pre-treatment review surfaces safety flags, last treatment and the linked consult/Rx (verified before opening). | Configurable toxin template with structured fields, free text and reusable phrases/snippets. | A non-S4 skin note variant exists (treatment-type-aware). | Charting cannot open unless the consult+consent gate is satisfied (PRD-03/04).","REQ: REQ-CLIN-1, REQ-CLIN-9 · ADR: ADR-0024",PRD-04/ADMIN-GATE
Story,MAPPING,Injection-mapping canvas (per-point lot),PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-05 phase:1 area:provider-app compliance,injector,"to drop and drag injection points on a facial diagram or photo, each recording product, units, depth, technique and lot",the treatment is precisely charted and traceable to a batch,"Charting opens with product & batch (lot) selection, restricted to in-date/ARTG/in-custody stock. | Each point records product, units, depth, technique and batch-lot/expiry. | On finalise, charted units deduct from the selected lot and link to the medicine register + recall (PRD-04). | Built on the SPIKE-CANVAS approach; performs smoothly with many points.","REQ: REQ-CLIN-2, REQ-MED-4 · Compliance: C8 · PRD AC: AC1",SPRINT-0/SPIKE-CANVAS PRD-04/RECALL-LOOKUP
Story,PHOTOS,Standardised before/after photos + compare,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-05 phase:1 area:provider-app compliance,injector,to capture standardised before/after photos and compare them against prior visits,I can track outcomes consistently,Camera/upload with standardised framing/ghosting guide; side-by-side compare across visits. | Capture requires current image-use consent (PRD-03). | Photos stored centrally via signed URLs; never persisted on device beyond a transient sync cache. | Annotation supported.,"REQ: REQ-CLIN-3 · Compliance: C14 · ADR: ADR-0009 · PRD AC: AC2, AC6",PRD-03/IMAGE-CONSENT
Story,IMMUTABILITY,Immutable finalisation & audited amendments,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P0,type:story PRD-05 phase:1 area:backend compliance,injector,"my finalised note to be locked, with later changes added as visible audited amendments",the clinical record is trustworthy and tamper-evident,"A finalised note cannot be edited. | An amendment creates a new linked, audited entry preserving the original. | Finalisation happens server-side. | The finalise close-out captures aftercare, recall, the 2-day wellbeing call and any adverse event.",REQ: REQ-CLIN-4 · ADR: ADR-0010 · PRD AC: AC3,PRD-05/MAPPING
Story,OFFLINE,Offline queue & sync for room-side charting,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-05 phase:1 area:provider-app,injector,my notes and photos to queue locally and sync when back online if the room loses Wi-Fi,I never lose work mid-treatment,"With connectivity dropped, notes/photos queue locally (encrypted) and sync on reconnect with no loss. | Drafts use last-write-wins; finalisation occurs server-side. | A sync/offline indicator shows queued count + last-sync time; finalise disabled until synced. | Built on SPIKE-OFFLINE.","REQ: REQ-APP-3 · ADR: ADR-0015, ADR-0010 · PRD AC: AC4",SPRINT-0/SPIKE-OFFLINE PRD-05/IMMUTABILITY
Story,ADVERSE-EVENT,Adverse-event capture → DAEN pathway,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P1,type:story PRD-05 phase:1 area:provider-app compliance,injector,"to log an adverse event linked to the treatment, product and lot",it feeds the TGA report and the right follow-ups happen,"An adverse event captures the data a TGA report needs, classifies seriousness and targets the correct DAEN database (medicine vs device). | It links to the treatment, product and lot. | A complication-response flow (VO/anaphylaxis → log hyaluronidase/adrenaline) routes the AE + raises jobs. | Full submission/prefill lives in the Governance hub (PRD-08).",REQ: REQ-CLIN-5 · Compliance: C12 · PRD AC: AC5,PRD-05/IMMUTABILITY
Story,TREATMENT-PLANS,Treatment plans & protocol templates,PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P2,type:story PRD-05 phase:1 area:provider-app,injector,to build multi-session treatment plans from protocol templates,ongoing care is structured and drives recall,Protocol templates can be applied to create a multi-session plan. | Plans feed the recall worklist (PRD-07). | Plan progress is visible on the client 360. | A charting overview / 'in-room now' entry point lists active plans.,REQ: REQ-CLIN-7 · ADR: ADR-0024,PRD-05/NOTE-TEMPLATE
Story,MODALITY,Other-modality charting: filler / energy / weight-loss (placeholder),PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P2,type:story PRD-05 phase:2plus area:provider-app,injector,"modality-aware charting for filler, energy devices and weight-loss",the platform covers the full treatment menu,"Placeholder — v1 ships toxin + non-S4 skin notes; the modality model already anticipates these. | Each modality's specific gates (e.g. filler VO consent, laser licence) are captured for later build.","REQ: REQ-CLIN-10, REQ-CLIN-11, REQ-CLIN-12, REQ-CLIN-13 · ADR: ADR-0025",
Story,AI-SCRIBE,AI note dictation / auto-detect injection points (placeholder),PRD-05,"M3 · Consult, prescribing, S4 & charting (PRD-04, PRD-05)",P2,type:story PRD-05 phase:2plus area:provider-app,injector,optional AI assistance for notes and injection-point suggestions,charting is faster (with human confirmation),Placeholder — explicitly no AI in v1; any future feature is advisory + human-confirmed only. | Captured to keep the data model ready.,REQ: REQ-CLIN-6 · ADR: ADR-0020,
Epic,PRD-06,"Payments (in-person POS + autopay), memberships & non-S4 rewards",,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",,type:epic PRD-06 phase:1 area:web area:backend,,,,,,
Story,PAYMENT-PROVIDER,Payment provider abstraction + Square adapter,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P0,type:story PRD-06 phase:1 area:backend area:integration,developer,a payment-provider abstraction with a Square adapter and cash tender,payments are swappable and PCI-safe,"IPaymentProvider exposes authorize/capture, refund, void, tokenize, recurring and gift-card. | Square adapter implemented; cash is an internal tender. | No PAN is ever stored — only provider tokens. | Built on SPIKE-SQUARE findings.",REQ: REQ-PAY-1 · ADR: ADR-0007 · PRD AC: AC5,SPRINT-0/SPIKE-SQUARE
Story,POS,In-person POS checkout (card + cash),PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P0,type:story PRD-06 phase:1 area:web,front desk,to take payment in person by Square card or recorded cash with receipts and split/partial support,I can check clients out at the desk,"A sale completes by Square card or recorded cash; both appear in the daily closeout. | Receipts, partial/split payments, tips and surcharge config supported. | Money figures respect the owner-only financial capability (reception sees no money totals beyond the sale). | Online one-off checkout is not exposed (deferred).",REQ: REQ-PAY-2 · PRD AC: AC1,PRD-06/PAYMENT-PROVIDER
Story,PACKAGES-GIFT,"Packages/series, gift cards & client balances",PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-06 phase:1 area:web,front desk,to sell and redeem packages and gift cards and track client balances,clients can pre-pay and carry credit,"Package/series sale + redemption with 'visits remaining'. | Gift cards can be sold, balance-tracked and redeemed. | Client balance/credit and AR ageing tracked. | Redemptions appear in the closeout and post to Xero (PRD-10).","REQ: REQ-PAY-3, REQ-PAY-5 · PRD AC: AC6",PRD-06/POS
Story,CLOSEOUT,Daily closeout & reconciliation,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-06 phase:1 area:web,owner,a daily closeout that balances card and cash,the till reconciles every day,Closeout summarises card + cash tenders for the day. | Variances are surfaced. | Closeout figures are owner-gated. | Closeout reconciles to the Xero posting (PRD-10).,REQ: REQ-PAY-4 · PRD AC: AC1,PRD-06/POS
Story,MEMBERSHIP,Memberships with automatic autopay & dunning,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P0,type:story PRD-06 phase:1 area:backend,client,to join a membership and have my card auto-charged on schedule,I get member perks without manual payments,A membership auto-charges on schedule from a stored token (card added online/in-app or in person). | A failed charge triggers dunning/recovery. | Lifecycle (join/pause/cancel/win-back) tracked → MRR/churn reporting (PRD-08). | Benefits/credits auto-apply at checkout.,"REQ: REQ-MEMB-1, REQ-MEMB-2, REQ-MEMB-3 · PRD AC: AC2",PRD-06/PAYMENT-PROVIDER
Story,REWARDS-ENGINE,Rewards engine — non-S4 only,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P0,type:story PRD-06 phase:1 area:backend compliance,client,to earn and redeem rewards on non-S4 items only,I'm rewarded without breaching S4 advertising rules,"Visit-based rewards (milestones/every-Nth-visit) + membership perks on non-S4 items, add-ons or account/gift credit. | The engine refuses to earn, redeem or discount against any S4-flagged item. | Attempting to configure an S4 reward is blocked. | Catalog schedule flag (from PRD-04) drives eligibility.","REQ: REQ-MEMB-4, REQ-MEMB-5, REQ-MEMB-7 · Compliance: C9 · ADR: ADR-0014 · PRD AC: AC3",PRD-04/PRODUCT-CATALOGUE
Story,MARGIN-RULES,Margin-aware reward rules,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-06 phase:1 area:backend compliance,owner,to set margin-aware reward rules with caps and eligible items and see reward-cost vs retention,rewards drive retention without eroding margin,"Reward rules enforce value caps and eligible-item lists. | Reward-cost vs retention surfaces in reporting (PRD-08). | Reward communications go only to consented, logged-in clients (no public S4 price promotion). | Rule config is owner-gated.","REQ: REQ-MEMB-6 · Compliance: C9, C23 · PRD AC: AC4",PRD-06/REWARDS-ENGINE
Story,CHECKOUT-ASSIST,Checkout assist & post-visit rebooking,PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-06 phase:1 area:web,front desk,checkout to suggest relevant non-S4 upsells and prompt rebooking at the right interval,I help clients and keep them on cadence,Checkout shows a subtle membership/restock upsell and a client rapport panel. | Post-checkout rebooking is offered on the treatment interval. | Upsell suggestions never include S4 discounting. | Rebooking integrates with the calendar (PRD-02) and recall (PRD-07).,REQ: REQ-PAY-6 · ADR: ADR-0022,PRD-06/POS
Story,PRICING-WHATIF,Pricing & what-if planning (owner),PRD-06,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-06 phase:1 area:web,owner,to model pricing and run what-if scenarios,I can set prices and plan membership economics,Pricing/what-if planner uses the same read-models as reporting (PRD-08). | Scenario outputs are owner-gated. | The Finance area is a pricing + reporting hub; in-app ledger/payroll/AP/BAS tooling is out of scope (Xero). | Invoices/payments still sync to Xero from checkout.,"REQ: REQ-MEMB-9 · ADR: ADR-0022, ADR-0027",PRD-06/POS
Epic,PRD-07,"Communications, reminders & recall",,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",,type:epic PRD-07 phase:1 area:backend area:integration,,,,,,
Story,CHANNELS,Notification channels (SMS / email / push),PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P0,type:story PRD-07 phase:1 area:backend area:integration,developer,"a notification abstraction over SMS, email and push with per-tenant templates",all messaging is consistent and provider-swappable,"INotifier supports SMS (AU provider), email and app push. | Per-tenant message templates supported. | Provider is swappable behind the port. | All sends log to the client's comms history.",REQ: REQ-NOTIF-1 · ADR: ADR-0012 · PRD AC: AC5,
Story,REMINDERS-CARE,"Reminders, confirmations & care sequences",PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-07 phase:1 area:backend,client,timely reminders I can confirm/decline and pre-/after-care instructions for my treatment,I'm prepared and cared for around my visit,Appointment reminders/confirmations send per template; confirm/decline updates the appointment (PRD-02). | Pre-care + aftercare sequences are multi-touch and timed per treatment type. | Transactional messages send regardless of marketing opt-in and avoid S4 references. | Sends are logged to comms history.,REQ: REQ-NOTIF-2 · PRD AC: AC3,PRD-07/CHANNELS
Story,RECALL,Recall / recare worklist,PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-07 phase:1 area:backend,front desk,a recall worklist of clients due to rebook and automatic recall nudges at the treatment interval,clients return on cadence and the book stays full,A toxin client with no future booking enters the recall worklist at the configured interval and receives the nudge. | Unbooked recommended sessions prompt a rebook. | Front desk can work the recall/rebook worklist. | Recall integrates with treatment plans (PRD-05) and rebooking (PRD-06).,REQ: REQ-NOTIF-3 · PRD AC: AC4,PRD-07/CHANNELS
Story,MARKETING-CONSENT,Marketing consent & functional unsubscribe (Spam Act),PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-07 phase:1 area:backend compliance,client,"to only receive marketing I opted into, with a working unsubscribe on every message",my consent is respected per the Spam Act,Marketing sends only to opted-in clients and always include a working unsubscribe. | Unsubscribing suppresses future marketing immediately. | Sender identification is included. | Suppression list is honoured across channels (and by PRD-06 reward comms).,REQ: REQ-NOTIF-5 · Compliance: C23 · PRD AC: AC1,PRD-07/CHANNELS
Story,BOOKING-PAGE,"Public booking page: generic names, S4 prices withheld",PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P1,type:story PRD-07 phase:1 area:web compliance,owner,my public booking page to use generic service names and withhold S4 prices automatically,we don't reference S4 in public advertising,"The booking page renders generic service names and withholds S4 prices for any S4-flagged service (configuration-driven). | No brands, 'anti-wrinkle injections', prices or #botox appear for S4 services. | Configuration is driven by the catalog schedule flag (PRD-04). | Advertising compliance beyond this is clinic-owned (external tools).",REQ: REQ-NOTIF-12 · Compliance: C9 · ADR: ADR-0014 · PRD AC: AC2,PRD-02/ONLINE-BOOK
Story,FOLLOWUPS,Unified follow-up / job queue,PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-07 phase:1 area:web,staff member,"one follow-up queue that merges recalls, needs-attention items and flagged messages",nothing falls through the cracks,"Recall, needs-attention and unanswered-comms items merge into a single queue. | Any message can be flagged so it isn't lost. | Inbound comms auto-categorise into jobs by rules/keyword (no AI). | A no-show (PRD-02) and negative reviews raise jobs into this queue.",REQ: REQ-NOTIF-7 · ADR: ADR-0023,PRD-07/CHANNELS
Story,INBOX,Omnichannel inbox + lead/reviews (placeholder),PRD-07,"M4 · Commerce, comms & integrations (PRD-06, PRD-07, PRD-10)",P2,type:story PRD-07 phase:2plus area:integration,staff member,a unified inbox with lead tracking and review management,all client conversations live in one place,"Placeholder — Phase 2; IG/FB/WhatsApp are reactive/service channels only (no cold-DM marketing). | Reviews acknowledge/flag/auto-detect-follow-up and the lead CRM are captured for later. | Meta feasibility (App Review, Business Verification, 24-h window) flagged for validation.","REQ: REQ-NOTIF-6, REQ-NOTIF-8, REQ-NOTIF-9 · ADR: ADR-0018, ADR-0032, ADR-0033",
Epic,PRD-08,Reporting & compliance dashboards (Governance hub),,"M5 · Reporting & apps (PRD-08, PRD-09)",,type:epic PRD-08 phase:1 area:web area:data,,,,,,
Story,READ-MODELS,Reporting read-models / materialized views,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-08 phase:1 area:data,developer,read-models/materialized views fed by domain events and the audit stream,dashboards are fast and don't hammer the transactional DB,"Read-models are populated from domain events + the audit stream. | Dashboards read from materialized views, not OLTP, and load within target on clinic data volumes. | Read-models are built incrementally per module. | Backfill/rebuild of a read-model is supported.","REQ: REQ-RPT-1 · ADR: ADR-0013, ADR-0010 · PRD AC: AC7",PRD-01/AUDIT
Story,BUSINESS-DASH,Business analytics dashboards,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-08 phase:1 area:web,owner,"dashboards for revenue, retention, no-shows, conversion, at-risk, big spenders and membership MRR/churn, filterable by date and practitioner",I can run the business on real numbers,Core dashboards match the prototype's metrics on the same date range. | Date-range presets + custom filtering; per-practitioner views. | Reward-cost vs retention surfaces (from PRD-06). | All money figures are gated behind the owner financial capability.,"REQ: REQ-RPT-1, REQ-RPT-2 · PRD AC: AC6",PRD-08/READ-MODELS
Story,COMPLIANCE-DASH,Compliance dashboards & register exports,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-08 phase:1 area:web compliance,compliance officer,"compliance dashboards and exports covering consent, consult-before-script, the S4 register, recalls, expiry and the breach/complaints registers",I can evidence compliance and act on gaps,Consult-before-script adherence shows 100% by construction; any exception is flagged. | The S4 register exports a complete immutable record; a lot lookup returns all affected clients. | Registration-expiry watch and records-due-for-destruction lists render with their basis. | Breach and complaints registers are viewable/exportable.,"REQ: REQ-RPT-3 · Compliance: C1, C8, C18, C19, C22, C24 · PRD AC: AC1, AC2, AC3, AC4",PRD-08/READ-MODELS PRD-04/RECALL-LOOKUP
Story,DAEN,Adverse-event / DAEN prefilled submission,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P1,type:story PRD-08 phase:1 area:web compliance,prescriber,to generate a prefilled DAEN adverse-event report targeting the correct database,reporting an adverse event is fast and correct,"An adverse event produces a prefilled DAEN report with seriousness set, targeting the correct database (medicine vs device). | Mandatory-reporting cases are flagged. | Recall execution + acknowledgement tracking lives in the hub. | Submission is export/file (electronic channel is an open option).",Compliance: C12 · ADR: ADR-0031 · PRD AC: AC5,PRD-05/ADVERSE-EVENT
Story,DATA-QUALITY,Data-quality checks,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-08 phase:1 area:web,owner,data-quality checks that flag anomalies in my records,the data stays clean and trustworthy,"Checks flag active-but-unseen, completed-not-checked-in, duplicates, missing contacts and implausible dates. | Findings are listed and actionable. | Checks run on a schedule. | Findings feed the needs-attention digest.",REQ: REQ-RPT-4,PRD-08/READ-MODELS
Story,ATTENTION-DIGEST,Owner 'needs attention' exceptions digest,PRD-08,"M5 · Reporting & apps (PRD-08, PRD-09)",P2,type:story PRD-08 phase:1 area:web,owner,a single 'needs attention' digest of exceptions across the clinic,I can act on what matters without hunting,"Digest aggregates expiries, discrepancies, data-quality findings, failed payments and overdue follow-ups. | Each item links to its source for action. | Digest respects role/financial gating. | Available as an at-a-glance owner view.",REQ: REQ-RPT-5,PRD-08/COMPLIANCE-DASH
